,Nombre,Dirección,Latitud,Longitud,Calificación
0,Salchipapas y Salchipapas Cali Sur - Hot Dog Cali,"Cl. 2 #39-15, Nueva Granada, Cali, Valle del Cauca, Colombia",3.4250393,-76.5509277,3.8
1,La Salchipapa De Juancho,"Cl. 83b #22-85, Cali, Valle del Cauca, Colombia",3.4372989,-76.4696412,4.2
2,SALCHIMONSTER BRETAÑA - SALCHIPAPERIA,"Cl. 10 # 21- 42, Bretana, Cali, Valle del Cauca, Colombia",3.4375971,-76.5315043,4.2
3,Salchipapas The King Chips,"Av. 3e Nte. #35, Cali, Valle del Cauca, Colombia",3.4797125,-76.5203447,2.6
4,Salchipapas,"a 51-87, Cra. 12a #51-1, Cali, Valle del Cauca, Colombia",3.4477549,-76.4997783,4.1
5,Las Salchipapas de Sandra,"Dg. 50 #2-37, Lleras Camargo, Cali, Valle del Cauca, Colombia",3.4174136,-76.55589789999999,4.6
6,Salchipapa Chimisexta,"a 1a 9-287, Cl. 62 #1a 9-147, Cali, Valle del Cauca, Colombia",3.4788928,-76.49280300000001,4.1
7,Mr. Papa Cali,"Cra. 5 Nte. #46AN-30, COMUNA 4, Cali, Valle del Cauca, Colombia",3.4741274,-76.5097165,4.5
8,Salchipapa y Hamburguesa a la brasa,"Cl. 2 Oe. #D51-10, Lleras Camargo, Cali, Valle del Cauca, Colombia",3.4169499,-76.55524930000001,5.0
9,The Big Papa Norte,"# 23, Cl. 44 Nte. #4 Norte3, Cali, Valle del Cauca, Colombia",3.4796343,-76.5201773,4.4
10,Salchipapas Don Leo,"Cl. 15a #16-04, Manuel M. Buenaventura, Cali, Valle del Cauca, Colombia",3.4417614,-76.5253709,4.8
11,Salchipapa la 28 de la 52,"Cl. 52 #12c-9, Comuna 8, Cali, Valle del Cauca, Colombia",3.4467366,-76.4991245,5.0
12,KINGPAPA VALLE DEL LILI - Salchipaperia,"Cra 94A #42-12, Cali, Valle del Cauca, Colombia",3.374382,-76.5200998,4.9
13,Salchipapa La Tóxica,"Cra 49c #52-88, Cali, Valle del Cauca, Colombia",3.3954106,-76.51180459999999,4.7
14,Salchipapa gigante,"Cdad. Capri, Cali, Valle del Cauca, Colombia",3.3913236,-76.5394695,2.0
15,Salchipapas Colombia,"Cra. 92, Horzonte, Cali, Valle del Cauca, Colombia",3.3771708,-76.54604859999999,3.8
16,SALCHIMONSTER LA FLORA- SALCHIPAPERIA,"Cl. 44 Nte. #3E-89, Cali, Valle del Cauca, Colombia",3.4798263,-76.5206504,4.6
17,venta de salchipapas y papas rellenas,"Cra. 24, Comuna 8, Cali, Valle del Cauca, Colombia",3.4418541,-76.49446619999999,5.0
18,KINGPAPA LA FLORA - Salchipaperia,"Calle 44N, Av. 3e Nte. #11 #, Cali, Valle del Cauca, Colombia",3.4796491,-76.5203034,4.8
19,Salchipapas Express,"Cra. 67 #30, Cali, Valle del Cauca, Colombia",3.3931074,-76.5155858,4.0
21,SALCHIPAPA,"Cl. 16 #47-17, San Judas Tadeo, Cali, Valle del Cauca, Colombia",3.4094048,-76.52589569999999,0.0
22,Broaster Y Salchipapa,"Cl. 14 #42b-6, Comuna 10, Cali, Valle del Cauca, Colombia",3.4146977,-76.528228,2.8
23,La Salchipaperia Cali Sede Parque del Perro,"Cl. 34 #3-27, El Sindicato, Cali, Valle del Cauca, Colombia",3.4364713,-76.54528669999999,3.6
24,La casa de la salchipapa,"Cl. 82a #22-88, Cali, Valle del Cauca, Colombia",3.4377023,-76.47092160000001,0.0
25,SALCHIPAPA LOVERS - Las Vegas,"Cra. 83c #53-01, Cali, Valle del Cauca, Colombia",3.3844228,-76.51168539999999,4.9
26,Salchilokura Sur,"Cra. 71A #10 A 05, Cali, Valle del Cauca, Colombia",3.3929275,-76.54204,4.1
27,Salchipapa salsas de la casa,"Cra 1D #61A-70, Comuna 5, Cali, Valle del Cauca, Colombia",3.4742543,-76.4937877,0.0
28,Salchipapa Y Algo Mas,"Dg. 30, Quiroga, Cali, Valle del Cauca, Colombia",3.4231188,-76.5070543,3.0
29,Salchipapas y alipapas La carpa,"La fortaleza, Cl. 32 #30a03, Conquistadores, Cali, Valle del Cauca, Colombia",3.4258958,-76.5116937,4.4
30,Las salchipapas de colseguros,"Cl. 12b # 31 - 04, Comuna 10, Cali, Valle del Cauca, Colombia",3.4270233,-76.5295271,4.4
31,Salchipapas de la Mona,"esq. Calle 47, Cra. 2a #46C-52, Esmeralda, Cali, Valle del Cauca, Colombia",3.4668624,-76.504209,4.1
32,Salchipapas El Prado,"a 24-140, Cl. 26b #24-80, Cali, Valle del Cauca, Colombia",3.4351822,-76.51669199999999,4.5
33,Salchipapa la 5ta norte,"Cra. 5 Nte. #43a Norte-30, COMUNA 4, Cali, Valle del Cauca, Colombia",3.4715925,-76.51218279999999,5.0
34,KINGPAPA LIMONAR - Salchipaperia,"Cl. 5a #El #66-25, Gran Limonar, Cali, Valle del Cauca, Colombia",3.3979601,-76.54590089999999,4.7
35,La Salchipapa,"Cl. 76 #12, Alfonso Lopez, Cali, Valle del Cauca, Colombia",3.4586688,-76.4801454,0.0
36,Salchipapa La Sexta,"Cl 54 #41, El Vallado, Cali, Valle del Cauca, Colombia",3.4039405,-76.50246969999999,5.0
37,La salchipiperia,"Carrera 1B # 58-19, Calle 16 #51-31, Cali, Valle del Cauca, Colombia",3.4766861,-76.4982464,4.5
38,Salchipapas ABBY,"Cl. 43a #39 B 52, Antonio Narino, Cali, Valle del Cauca, Colombia",3.4137509,-76.5046479,4.3
39,Salchipapa DELIRICURAS,"Cra. 53 #18-15, San Judas Tadeo, Cali, Valle del Cauca, Colombia",3.403784,-76.52480969999999,3.8
40,Salchiburger,"Cl. 47 #80-04 Local 4, Cali, Valle del Cauca, Colombia",3.3883835,-76.51723249999999,4.2
42,Salchilokura,"Cl. 47 #2E, Comuna 5, Cali, Valle del Cauca, Colombia",3.465461,-76.5034259,4.0
43,Mister Power la casa de la salchipapa,"Cl. 73a Nte. #2b Norte-17 a, Av 2b Nte. #1, Cali, Valle del Cauca, Colombia",3.4924809,-76.50375389999999,4.4
44,KINGPAPA NUEVA FLORESTA - Salchipaperia,"Cl. 44 #19-05, Nueva Floresta, Cali, Valle del Cauca, Colombia",3.4418423,-76.5020041,4.7
45,Las Salchipapotas De Alex,"Cra. 11g #32-30, Comuna 8, Cali, Valle del Cauca, Colombia",3.4472749,-76.5124671,4.3
46,Salchipapas Cami,"Cra. 1h #72-19, Jorge Eliecer Gaitan, Palmira, Cali, Valle del Cauca, Colombia",3.4754151,-76.4846726,4.8
47,Salchipapas El niche,"Puerta Del Sol, Cali, Valle del Cauca, Colombia",3.4232451,-76.4779222,4.3
48,Salchitasty's salchipapa gourmet,"Cra. 28 #16-65, Comuna 10, Cali, Valle del Cauca, Colombia",3.4289105,-76.5247353,3.5
49,La Salchipaperia Cali Sede Vipasa,"Calle 44N #3A96, Cali, Valle del Cauca, Colombia",3.4791277,-76.51850139999999,3.8
50,Salchipapas Exprees,"a 33a-46, Cra. 67a #33a-2, Cali, Valle del Cauca, Colombia",3.3981534,-76.5204621,4.1
51,Salchipunto fast food,"Cl. 40 #42b - 48, Republica De Israel, Cali, Valle del Cauca, Colombia",3.4102538,-76.5133927,4.2
52,Deli'sparrilla - Salchipapa y comida rápida en Cali,"Cl. 55 Nte. ##2FN-39 Local 10 Pacara, Cali, Valle del Cauca, Colombia",3.4841622,-76.5104913,4.5
53,Salchipapas Las Delicias de Luz,"Cl. 52 #24a-30, Cali, Valle del Cauca, Colombia",3.4394749,-76.4985037,4.2
54,The big papa,"Cl. 16 #83-01, El Ingenio, Cali, Valle del Cauca, Colombia",3.3854717,-76.5283188,4.1
55,SALCHIMONSTER CANEY - SALCHIPAPERIA,"Cra. 85 #37-10, Cali, Valle del Cauca, Colombia",3.3818871,-76.52134769999999,4.4
57,AK Kubanitos SALCHIPAPA,"Cl. 71 #4b-108, COMUNA 6, Cali, Palmira, Valle del Cauca, Colombia",3.4861106,-76.4893826,3.6
58,Salchipapas Paul,"Cra. 13 #52-36, Comuna 8, Cali, Valle del Cauca, Colombia",3.4455224,-76.4988626,4.6
59,SALCHIPAPA LA JOITA,"Cra. 74 #1C - 61, Las Farallones, Cali, Valle del Cauca, Colombia",3.3894548,-76.55269990000001,3.0
62,La Salchipaperia,"diagonal 28c, Cra. 28j, Cali, Valle del Cauca, Colombia",3.4290829,-76.50847809999999,4.1
63,SALCHIPAPERIA LJ,"Cl. 11, Bajo Jordan, Cali, Valle del Cauca, Colombia",3.3688002,-76.5624502,4.2
65,Salchipapería MICHIGAN,"Cra. 12 #28-01 Local 102, Comuna 8, Cali, Valle del Cauca, Colombia",3.4469498,-76.516037,0.0
68,La salchipaperia. P10,"Dg. 26p 10 #96-57, Marroquin II, 76001, Cali, Valle del Cauca, Colombia",3.4224836,-76.47815419999999,0.0
69,La Salchipaperia Sede Ciudad Pacífica,"Cl 47 #120-103, Villa Fatima, Cali, Valle del Cauca, Colombia",3.3463074,-76.5177638,1.9
71,salchipaperia toque vallecaucano,"Cra. 18a #15a-13, Manuel M. Buenaventura, Cali, Valle del Cauca, Colombia",3.4399034,-76.52526209999999,4.0
74,Salchipaperia y Broaster GIO,"Calle 79 &, Cra 28E3, El Poblado II, Cali, Valle del Cauca, Colombia",3.4165921,-76.4889965,5.0
76,Salchipaperos,"Cl. 49 #19-2 a 19-62, Cali, Valle del Cauca, Colombia",3.4418044,-76.5011947,4.5
78,Salchipaperia ranchera house,"Cl. 22a #11 - 62, Cali, Valle del Cauca, Colombia",3.4483665,-76.5208414,5.0
79,Salchipaperia NINI,"Cra. 17 #32-47 Esquina, Comuna 8, Cali, Valle del Cauca, Colombia",3.4432036,-76.5131178,4.8
80,La Monumental Salchipaperia,"Cra. 66 #2b-43, La Cascada, Cali, Valle del Cauca, Colombia",3.3983605,-76.55124320000002,4.1
81,Mas q papa salchipaperia,"Cra. 125 #19-170, Barrio Pance, Cali, Valle del Cauca, Colombia",3.3383644,-76.52897209999999,5.0
85,Glotones salchipaperia,"Carrera 46 &, Cl. 50, Cali, Valle del Cauca, Colombia",3.4004833,-76.5097645,0.0
86,Salchipapas salchi paisa ve!,"Ciudadela Floralia, Cali, Valle del Cauca, Colombia",3.4963791,-76.4935486,4.8
